modelo,accuracy,precision,recall,f1_score,n_test
Baseline_clase_mayoritaria,0.8348240906380441,0.8348240906380441,1.0,0.9099772505687358,1677
RandomForestRegressor_umbral_0.5,1.0,1.0,1.0,1.0,1677
